Carro;data;qnt;placas;valor
BMW;01/11/2021;22;asa-4343;23223
Volvo;02/11/2021;4;asa-999;34343
Ford;03/11/2021;5;asa-222;3232
Volkswagen ;04/11/2021;33;asa-111;3434
Toyota ;05/11/2021;43;asa-222;6666
Hyundai;06/11/2021;533;sds-ww3;22222
Chevrolet ;07/11/2021;33;asa-4343;21212
Nissan ;08/11/2021;33;asa-tgjy;212121
Honda;09/11/2021;533;asa-66;121212
BMW;10/11/2021;33;asa-66;2121
Volvo;11/11/2021;4;asa-4343;21214
Volvo;11/11/2021;4;asa-4343;21214
Ford;12/11/2021;5;asa-111;21212
Volkswagen ;13/11/2021;33;asa-333;111111
Mercedes;14/11/2021;2;asa-777;100000
Volkswagen ;15/11/2021;33;asa-111;3434
Toyota ;16/11/2021;43;asa-222;6666
Hyundai;17/11/2021;533;sds-ww3;22222
Volkswagen ;18/11/2021;33;asa-111;3434
Toyota ;19/11/2021;43;asa-222;6666
Hyundai;20/11/2021;533;sds-ww3;22222
BMW;NaN;22;asa-4343;23223
Volvo;22/11/2021;4;asa-999;34343
Ford;23/11/2021;5;asa-222;3232
Hyundai;24/11/2021;533;sds-ww3;22222
BMW;25/11/2021;22;asa-4343;23223
Volvo;26/11/2021;4;asa-999;34343
Ford;27/11/2021;5;asa-222;3232
